loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Lawrence,BOAS 3",,Lawrence,,BOAS 3,27,5,161,32,155,8,40,1,27,35,5
"Lawrence,CACHE",,Lawrence,,CACHE,7,2,31,9,29,2,12,15,291,354,102
"Lawrence,CAMPBELL 1",,Lawrence,,CAMPBELL 1,109,16,343,140,317,9,157,13,286,347,103
"Lawrence,CAMPBELL 2",,Lawrence,,CAMPBELL 2,104,15,339,121,326,12,156,8,176,213,68
"Lawrence,CAMPBELL 3",,Lawrence,,CAMPBELL 3,70,15,202,84,196,7,103,19,309,348,88
"Lawrence,CAMPBELL 4",,Lawrence,,CAMPBELL 4,93,20,332,105,325,15,116,6,216,234,50
"Lawrence,DENT",,Lawrence,,DENT,59,6,221,63,218,4,65,1,23,25,15
"Lawrence,DOWELL",,Lawrence,,DOWELL,17,2,22,15,24,2,17,1,101,108,34
"Lawrence,DUTY",,Lawrence,,DUTY,29,2,113,43,97,3,41,3,59,65,6
"Lawrence,EATON",,Lawrence,,EATON,9,4,58,7,62,2,9,1,22,29,4
"Lawrence,FLAT CREEK",,Lawrence,,FLAT CREEK,4,4,24,7,24,2,10,0,20,22,0
"Lawrence,JESUP",,Lawrence,,JESUP,3,2,18,3,20,0,3,13,29,46,11
"Lawrence,LAWRENCE",,Lawrence,,LAWRENCE,10,2,45,13,42,2,15,1,28,35,8
"Lawrence,MARION",,Lawrence,,MARION,9,1,33,10,33,0,14,1,131,141,22
"Lawrence,MORGAN",,Lawrence,,MORGAN,26,3,133,26,132,2,29,27,63,91,22
"Lawrence,PROMISED LAND",,Lawrence,,PROMISED LAND,16,4,93,21,88,5,23,0,83,85,4
"Lawrence,REED'S CREEK SAFFELL",,Lawrence,,REED'S CREEK SAFFELL,5,1,83,5,80,2,6,4,97,111,23
"Lawrence,REED'S CREEK STRAWBERRY",,Lawrence,,REED'S CREEK STRAWBERRY,30,2,109,30,108,2,37,1,22,24,6
"Lawrence,RICHWOODS",,Lawrence,,RICHWOODS,6,1,24,8,20,3,9,2,72,77,20
"Lawrence,SPRING RIVER",,Lawrence,,SPRING RIVER,23,3,73,26,74,0,26,4,79,88,21
"Lawrence,STRAWBERRY",,Lawrence,,STRAWBERRY,19,9,85,22,86,5,30,3,106,119,24
"Lawrence,THACKER",,Lawrence,,THACKER,22,10,117,32,112,4,36,7,182,190,86
"Lee,JP01",,Lee,,JP01,91,4,186,100,180,6,95,3,135,152,123
"Lee,JP02",,Lee,,JP02,144,3,149,157,133,4,157,4,101,114,123
"Lee,JP03",,Lee,,JP03,152,3,104,153,101,5,154,1,106,115,70
"Lee,JP04",,Lee,,JP04,86,5,107,89,109,0,93,1,118,136,38
"Lee,JP05",,Lee,,JP05,54,3,126,59,121,1,60,3,38,61,148
"Lee,JP06",,Lee,,JP06,170,4,55,184,38,3,184,4,97,131,84
"Lee,JP07",,Lee,,JP07,116,3,113,125,99,3,128,6,65,77,110
"Lee,JP08",,Lee,,JP08,122,11,64,129,63,7,128,5,42,61,161
"Lee,JP09",,Lee,,JP09,195,6,43,201,36,4,191,1,20,23,3
"Lincoln,Auburn",,Lincoln,,Auburn,8,0,20,8,18,2,6,0,12,17,54
"Lincoln,Bar/Tarry",,Lincoln,,Bar/Tarry,60,0,20,63,15,2,67,2,42,57,61
"Lincoln,Bar/Yorktown",,Lincoln,,Bar/Yorktown,81,1,59,93,49,1,97,6,342,371,42
"Lincoln,Cane Creek 1",,Lincoln,,Cane Creek 1,40,6,373,44,369,6,69,3,85,91,10
"Lincoln,Cane Creek 2",,Lincoln,,Cane Creek 2,10,1,91,11,89,1,13,3,120,121,12
"Lincoln,Cane Creek 3",,Lincoln,,Cane Creek 3,4,3,131,5,129,2,13,0,13,17,15
"Lincoln,Choctaw",,Lincoln,,Choctaw,16,0,17,17,16,0,20,1,27,29,9
"Lincoln,Gould",,Lincoln,,Gould,10,1,31,12,28,1,12,2,16,20,65
"Lincoln,Gould City W1",,Lincoln,,Gould City W1,79,0,32,88,17,2,92,0,1,7,53
"Lincoln,Gould City W2",,Lincoln,,Gould City W2,74,2,12,83,5,0,87,0,18,22,46
"Lincoln,Gould City W3",,Lincoln,,Gould City W3,62,4,21,67,20,1,69,3,31,42,72
"Lincoln,Grady City W1& W2",,Lincoln,,Grady City W1& W2,85,2,51,103,32,3,103,0,9,10,14
"Lincoln,Kimbrough",,Lincoln,,Kimbrough,12,0,12,11,13,0,15,1,72,83,12
"Lincoln,Lone Pine/Garnett",,Lincoln,,Lone Pine/Garnett,10,1,85,10,84,2,22,1,77,87,13
"Lincoln,Lone Pine/Mt. Home",,Lincoln,,Lone Pine/Mt. Home,20,1,83,20,83,0,24,2,53,58,11
"Lincoln,Mill Creek",,Lincoln,,Mill Creek,11,1,58,13,56,2,16,1,131,151,18
"Lincoln,Owen/Glendale",,Lincoln,,Owen/Glendale,17,4,148,29,140,0,37,5,127,136,23
"Lincoln,Owen/Palmyra",,Lincoln,,Owen/Palmyra,16,4,141,24,131,5,28,1,48,50,5
"Lincoln,SE Lincoln Co FD",,Lincoln,,SE Lincoln Co FD,3,1,53,6,49,1,7,1,67,74,6
"Lincoln,Smith",,Lincoln,,Smith,8,0,74,10,73,0,15,2,138,155,15
"Lincoln,Spring 1",,Lincoln,,Spring 1,16,2,154,23,144,5,32,1,11,13,10
"Lincoln,Spring 2",,Lincoln,,Spring 2,9,1,16,13,12,1,14,2,128,144,36
"Lincoln,Star City W1",,Lincoln,,Star City W1,39,2,149,50,137,4,61,2,80,104,27
"Lincoln,Star City W2",,Lincoln,,Star City W2,40,2,107,47,95,3,62,1,202,224,37
"Lincoln,Star City W3",,Lincoln,,Star City W3,33,1,233,45,216,5,64,1,54,61,4
"Lincoln,Wells Bayou/FS",,Lincoln,,Wells Bayou/FS,8,1,56,7,57,1,9,3,93,97,28
"Little River,ARDEN",,Little River,,ARDEN,31,2,93,31,91,2,29,2,6,7,9
"Little River,ARKINDA",,Little River,,ARKINDA,13,0,6,12,6,0,11,6,436,466,118
"Little River,ASHDOWN WARD 1",,Little River,,ASHDOWN WARD 1,127,9,451,150,430,8,147,7,144,163,185
"Little River,ASHDOWN WARD 2",,Little River,,ASHDOWN WARD 2,200,8,148,204,141,12,206,1,176,197,117
"Little River,ASHDOWN WARD 3",,Little River,,ASHDOWN WARD 3,128,9,183,147,173,3,143,2,62,71,17
"Little River,BURKE",,Little River,,BURKE,13,1,75,21,66,2,25,4,66,76,11
"Little River,CANEY",,Little River,,CANEY,10,4,74,13,71,5,18,4,194,213,92
"Little River,CLEVELAND",,Little River,,CLEVELAND,91,14,205,106,192,12,111,1,22,25,26
"Little River,FOREMAN WARD 1",,Little River,,FOREMAN WARD 1,31,0,21,31,22,0,30,5,87,94,32
"Little River,FOREMAN WARD 2",,Little River,,FOREMAN WARD 2,28,4,93,39,85,2,35,1,91,97,37
"Little River,FOREMAN WARD 3",,Little River,,FOREMAN WARD 3,37,0,98,44,89,2,43,6,265,278,44
"Little River,FRANKLIN",,Little River,,FRANKLIN,42,6,275,54,261,7,52,1,175,180,21
"Little River,JACKSON",,Little River,,JACKSON,22,3,177,24,174,2,26,4,183,191,40
"Little River,JEFFERSON",,Little River,,JEFFERSON,38,6,189,50,175,6,46,1,59,61,9
"Little River,JEWELL",,Little River,,JEWELL,5,6,60,12,59,0,11,2,87,105,83
"Little River,JOHNSON",,Little River,,JOHNSON,93,2,97,102,85,5,104,3,126,130,17
"Little River,LICK CREEK",,Little River,,LICK CREEK,14,8,126,18,126,3,20,3,169,178,15
"Little River,LITTLE RIVER",,Little River,,LITTLE RIVER,15,2,178,22,169,3,21,4,161,166,26
"Little River,RED RIVER",,Little River,,RED RIVER,28,6,162,38,153,5,31,3,96,104,54
"Little River,WALLACE/RICHLAND",,Little River,,WALLACE/RICHLAND,48,1,109,61,96,3,62,6,78,82,15
"Logan,Barber",,Logan,,Barber,11,5,83,14,78,6,13,0,17,17,1
"Logan,Blue Mtn City",,Logan,,Blue Mtn City,1,0,17,1,17,0,1,0,18,18,3
"Logan,Blue Mtn Rural",,Logan,,Blue Mtn Rural,2,1,18,3,18,0,3,12,188,212,54
"Logan,Boone Ward 1",,Logan,,Boone Ward 1,55,15,203,60,199,13,72,11,222,244,50
"Logan,Boone Ward 2",,Logan,,Boone Ward 2,58,14,226,66,221,14,66,15,216,247,74
"Logan,Boone Ward 3",,Logan,,Boone Ward 3,76,13,238,85,230,10,94,12,369,405,60
"Logan,Boone Ward 4",,Logan,,Boone Ward 4,74,17,381,82,375,15,88,3,89,106,27
"Logan,Cane Creek",,Logan,,Cane Creek,35,3,96,39,93,1,41,1,65,72,9
"Logan,Caulksville City",,Logan,,Caulksville City,12,4,65,15,64,3,16,5,100,113,29
"Logan,Caulksville Rural",,Logan,,Caulksville Rural,33,4,111,37,106,5,43,1,51,55,16
"Logan,Cauthron",,Logan,,Cauthron,14,2,56,19,50,3,20,6,86,107,27
"Logan,Clark City",,Logan,,Clark City,33,5,98,46,89,2,45,1,88,104,26
"Logan,Clark Crossroads",,Logan,,Clark Crossroads,27,2,101,30,97,1,41,3,70,79,13
"Logan,Clark Rural",,Logan,,Clark Rural,15,3,74,17,74,0,19,5,124,135,26
"Logan,Delaware",,Logan,,Delaware,25,6,128,29,127,5,34,1,111,119,20
"Logan,Driggs",,Logan,,Driggs,23,2,113,24,110,5,27,5,162,167,24
"Logan,Ellsworth",,Logan,,Ellsworth,19,5,167,22,164,5,24,1,67,67,12
"Logan,Johnson",,Logan,,Johnson,7,0,72,13,64,1,11,5,72,82,19
"Logan,Logan",,Logan,,Logan,22,2,77,26,73,3,25,0,17,21,5
"Logan,Morrison Bluff",,Logan,,Morrison Bluff,7,1,19,10,16,1,10,3,36,39,12
"Logan,Mountain",,Logan,,Mountain,11,1,38,13,36,1,12,3,56,58,12
"Logan,Petit Jean",,Logan,,Petit Jean,13,3,55,12,55,4,12,2,33,38,13
"Logan,Ratcliff City",,Logan,,Ratcliff City,13,1,37,12,35,3,16,1,31,39,13
"Logan,Ratcliff Rural",,Logan,,Ratcliff Rural,17,0,35,16,36,0,20,2,114,124,26
"Logan,Reveille City",,Logan,,Reveille City,22,9,120,30,118,4,32,3,135,151,29
"Logan,Reveille Rural",,Logan,,Reveille Rural,33,4,146,42,132,9,44,2,33,42,12
"Logan,River City",,Logan,,River City,11,3,40,13,41,1,20,4,62,79,25
"Logan,River Rural",,Logan,,River Rural,27,1,76,36,65,2,36,7,155,168,41
"Logan,Shoal Creek",,Logan,,Shoal Creek,40,5,166,41,160,7,48,8,232,272,76
"Logan,Short Mtn Ward 1",,Logan,,Short Mtn Ward 1,85,8,260,112,230,9,115,6,160,179,49
"Logan,Short Mtn Ward 2",,Logan,,Short Mtn Ward 2,48,8,175,55,164,10,65,7,144,156,38
"Logan,Short Mtn Ward 3",,Logan,,Short Mtn Ward 3,32,9,155,41,148,6,45,5,246,282,62
"Logan,Short Mtn Ward 4",,Logan,,Short Mtn Ward 4,63,10,277,82,259,7,95,7,94,104,28
"Logan,Sugar Creek",,Logan,,Sugar Creek,27,6,101,28,98,7,32,3,85,86,25
"Logan,Tomlinson",,Logan,,Tomlinson,17,5,88,23,86,2,23,5,183,198,31
"Logan,Washburn",,Logan,,Washburn,33,7,191,38,189,5,42,2,3,9,39
"Lonoke,01- Allport City",,Lonoke,,01- Allport City,43,1,6,46,4,0,45,18,551,587,92
"Lonoke,02 - Caroline Twp",,Lonoke,,02 - Caroline Twp,96,25,557,105,554,20,109,18,613,654,147
"Lonoke,03 - Austin City",,Lonoke,,03 - Austin City,150,27,629,161,617,26,171,17,616,636,106
"Lonoke,04 - Butler Twp",,Lonoke,,04 - Butler Twp,107,25,613,112,611,21,110,71,890,980,278
"Lonoke,05 - Cabot City W/1",,Lonoke,,05 - Cabot City W/1,259,52,962,300,911,53,305,78,1880,1998,418
"Lonoke,06 - Cabot City W/2",,Lonoke,,06 - Cabot City W/2,399,84,1957,473,1892,72,478,61,1434,1575,311
"Lonoke,07 - Cabot City W/3",,Lonoke,,07 - Cabot City W/3,335,67,1502,379,1461,62,400,60,1001,1075,276
"Lonoke,08 - Cabot City W/4",,Lonoke,,08 - Cabot City W/4,252,56,1063,283,1024,59,292,7,378,403,82
"Lonoke,09 - York Twp",,Lonoke,,09 - York Twp,84,13,396,103,378,11,106,6,227,258,54
"Lonoke,10 - Carlisle City Ward 1",,Lonoke,,10 - Carlisle City Ward 1,60,7,252,82,231,5,83,3,76,93,53
"Lonoke,11 -Carlisle City Ward 2",,Lonoke,,11 -Carlisle City Ward 2,56,4,89,60,80,8,69,1,110,127,37
"Lonoke,12 - Carlisle City Ward 3",,Lonoke,,12 - Carlisle City Ward 3,41,1,123,44,118,3,53,4,100,106,9
"Lonoke,13 - Carlisle Twp.",,Lonoke,,13 - Carlisle Twp.,6,2,108,13,103,0,12,1,56,64,11
"Lonoke,14 - Cleveland Twp",,Lonoke,,14 - Cleveland Twp,19,0,56,18,57,0,18,0,42,51,10
"Lonoke,15 - Dortch Twp",,Lonoke,,15 - Dortch Twp,16,2,44,21,41,0,20,9,514,526,78
"Lonoke,16 - Eagle Twp",,Lonoke,,16 - Eagle Twp,76,15,517,83,508,15,84,3,175,215,38
"Lonoke,17 - England City Ward 1",,Lonoke,,17 - England City Ward 1,58,5,192,61,187,5,75,4,111,133,35
"Lonoke,18 - England City Ward 2",,Lonoke,,18 - England City Ward 2,41,4,125,48,118,4,55,5,36,58,107
"Lonoke,19- England City Ward 3",,Lonoke,,19- England City Ward 3,127,2,51,136,40,2,136,4,53,66,39
"Lonoke,20 - England City Ward 4",,Lonoke,,20 - England City Ward 4,44,2,58,41,61,3,47,0,41,42,4
"Lonoke,21 - Fletcher Twp",,Lonoke,,21 - Fletcher Twp,3,0,43,3,43,0,5,11,170,205,78
"Lonoke,22 - Furlow Twp",,Lonoke,,22 - Furlow Twp,84,14,187,97,176,11,104,16,726,754,130
"Lonoke,23 - Goodrum Twp",,Lonoke,,23 - Goodrum Twp,117,29,744,135,741,16,145,26,605,688,198
"Lonoke,24 - Gray Twp",,Lonoke,,24 - Gray Twp,235,19,647,255,619,25,266,0,61,71,8
"Lonoke,25 - Gumwood Twp",,Lonoke,,25 - Gumwood Twp,12,0,67,17,62,1,18,1,26,30,3
"Lonoke,26 - Hamilton Twp",,Lonoke,,26 - Hamilton Twp,5,0,28,4,29,0,6,2,68,71,7
"Lonoke,27 - Crooked Creek Twp",,Lonoke,,27 - Crooked Creek Twp,6,2,70,6,70,2,8,1,93,99,8
"Lonoke,28 - Humnoke City",,Lonoke,,28 - Humnoke City,12,0,95,10,97,1,14,0,31,34,5
"Lonoke,29 - Indian Bayou Twp",,Lonoke,,29 - Indian Bayou Twp,5,0,35,6,33,1,9,0,19,20,2
"Lonoke,30 - Coy City",,Lonoke,,30 - Coy City,2,0,21,5,18,0,4,0,34,37,2
"Lonoke,31 - Isbell Twp",,Lonoke,,31 - Isbell Twp,0,2,37,3,34,2,5,0,5,5,3
"Lonoke,32 - Lafayette Twp",,Lonoke,,32 - Lafayette Twp,3,0,5,3,5,0,3,4,77,85,24
"Lonoke,33 - Keo City",,Lonoke,,33 - Keo City,27,2,80,36,72,2,29,6,146,159,65
"Lonoke,34 - Lonoke City W/1",,Lonoke,,34 - Lonoke City W/1,59,2,166,77,148,2,74,2,102,118,27
"Lonoke,35 - Lonoke City W/2",,Lonoke,,35 - Lonoke City W/2,28,4,113,35,108,2,41,7,73,88,63
"Lonoke,36 - Lonoke City W/3",,Lonoke,,36 - Lonoke City W/3,57,3,93,67,82,4,73,9,121,148,48
"Lonoke,37 - Lonoke City W/4",,Lonoke,,37 - Lonoke City W/4,56,2,138,71,121,4,65,9,213,238,60
"Lonoke,38 - Lonoke Twp",,Lonoke,,38 - Lonoke Twp,61,11,228,85,212,4,78,17,506,550,112
"Lonoke,39 - Magness Twp",,Lonoke,,39 - Magness Twp,112,23,535,126,522,21,146,38,1041,1126,213
"Lonoke,40 - Oak Grove Twp",,Lonoke,,40 - Oak Grove Twp,221,49,1074,256,1045,42,260,0,24,27,9
"Lonoke,41 - Pettus Twp",,Lonoke,,41 - Pettus Twp,11,1,25,11,25,1,13,2,125,134,16
"Lonoke,42 - Prairie Twp.",,Lonoke,,42 - Prairie Twp.,19,4,126,23,125,2,22,6,36,51,97
"Lonoke,43 - Pulaski Twp",,Lonoke,,43 - Pulaski Twp,113,2,42,120,35,2,114,0,16,22,9
"Lonoke,44 - Richwood Twp",,Lonoke,,44 - Richwood Twp,8,1,22,11,19,1,15,3,83,88,16
"Lonoke,45 - Totten Twp.",,Lonoke,,45 - Totten Twp.,16,2,85,16,86,2,18,0,11,11,7
"Lonoke,46 - Walls Twp.",,Lonoke,,46 - Walls Twp.,4,0,14,5,12,1,7,14,254,275,60
"Lonoke,47 - Ward City W/1",,Lonoke,,47 - Ward City W/1,63,8,267,70,249,18,69,15,258,279,67
"Lonoke,48 - Ward City W/2",,Lonoke,,48 - Ward City W/2,55,13,282,62,272,15,75,21,343,374,91
"Lonoke,49 - Ward City W/3",,Lonoke,,49 - Ward City W/3,94,20,357,96,352,20,105,13,302,316,55
"Lonoke,50 - Ward Twp",,Lonoke,,50 - Ward Twp,51,17,311,61,306,10,60,4,139,153,69
"Lonoke,51 - Williams Twp.",,Lonoke,,51 - Williams Twp.,68,12,144,79,136,8,81,5,45,70,82
"Lonoke,53 - Lonoke City W/5",,Lonoke,,53 - Lonoke City W/5,90,2,65,100,54,2,106,7,22,43,80
"Lonoke,54 - Lonoke City W/6",,Lonoke,,54 - Lonoke City W/6,89,4,37,106,23,4,103,3,115,133,55
"Lonoke,55 - Lonoke City W/7",,Lonoke,,55 - Lonoke City W/7,51,4,135,67,122,3,73,3,164,187,52
"Lonoke,56 - Lonoke City W/8",,Lonoke,,56 - Lonoke City W/8,65,5,173,72,168,1,73,11,288,327,87
"Madison,Alabam",,Madison,,Alabam,108,5,320,133,287,12,130,7,73,81,36
"Madison,Boston",,Madison,,Boston,44,3,87,42,78,9,46,8,145,160,39
"Madison,Bowen",,Madison,,Bowen,55,5,152,56,146,7,54,7,326,366,64
"Madison,California",,Madison,,California,76,12,349,92,336,7,104,1,104,117,53
"Madison,Hilburn",,Madison,,Hilburn,61,2,117,74,102,4,74,3,118,120,14
"Madison,Japton",,Madison,,Japton,11,9,115,12,118,6,14,12,316,344,84
"Madison,Kings River",,Madison,,Kings River,107,9,339,113,325,11,117,13,297,337,95
"Madison,Lamar",,Madison,,Lamar,122,16,328,141,301,17,150,8,110,118,35
"Madison,Lincoln",,Madison,,Lincoln,37,9,116,40,114,4,42,3,126,139,24
"Madison,Marble",,Madison,,Marble,24,3,141,31,130,6,35,9,121,140,39
"Madison,Mill Creek",,Madison,,Mill Creek,40,3,140,53,123,7,54,16,508,573,97
"Madison,Prairie",,Madison,,Prairie,141,15,540,158,517,17,168,5,206,227,32
"Madison,Richland",,Madison,,Richland,48,6,212,49,210,4,51,9,159,180,60
"Madison,Valley",,Madison,,Valley,70,7,174,73,171,7,81,18,551,625,110
"Madison,War Eagle",,Madison,,War Eagle,164,18,588,182,558,20,184,10,74,88,38
"Madison,Ward 1",,Madison,,Ward 1,43,8,79,46,78,6,45,2,37,41,21
"Madison,Ward 2",,Madison,,Ward 2,18,2,46,23,41,3,26,11,111,121,34
"Madison,Ward 3",,Madison,,Ward 3,34,7,124,39,113,12,37,1,90,115,34
"Madison,Ward 4",,Madison,,Ward 4,50,0,111,59,100,2,69,4,69,76,27
"Madison,Wharton",,Madison,,Wharton,30,3,73,28,71,5,32,5,57,62,27
"Marion,P0001",,Marion,,P0001,25,3,62,27,61,2,28,2,174,181,48
"Marion,P0002",,Marion,,P0002,48,5,178,51,179,2,56,2,130,144,36
"Marion,P0003",,Marion,,P0003,45,2,134,50,130,1,51,2,54,56,27
"Marion,P0004",,Marion,,P0004,35,1,56,36,55,1,36,5,82,90,30
"Marion,P0005",,Marion,,P0005,32,1,90,37,82,1,35,28,513,560,158
"Marion,P0006",,Marion,,P0006,155,20,559,195,518,21,195,1,30,31,15
"Marion,P0007",,Marion,,P0007,14,1,31,13,32,1,15,17,500,531,73
"Marion,P0008",,Marion,,P0008,84,22,502,78,515,17,89,4,249,255,52
"Marion,P0009",,Marion,,P0009,54,12,247,61,245,8,62,0,56,56,10
"Marion,P0010",,Marion,,P0010,10,6,52,15,53,1,13,4,31,32,9
"Marion,P0011",,Marion,,P0011,7,6,29,9,30,3,7,0,9,9,3
"Marion,P0012",,Marion,,P0012,3,0,9,3,9,0,3,1,17,18,2
"Marion,P0013",,Marion,,P0013,4,0,16,2,17,1,2,1,11,12,2
"Marion,P0014",,Marion,,P0014,2,1,11,3,12,0,3,1,50,54,14
"Marion,P0015",,Marion,,P0015,16,2,51,18,49,2,18,11,355,373,83
"Marion,P0016",,Marion,,P0016,95,15,360,104,351,11,103,9,183,198,67
"Marion,P0017",,Marion,,P0017,61,10,196,72,186,11,74,6,97,103,22
"Marion,P0018",,Marion,,P0018,27,7,94,25,98,5,26,3,158,170,33
"Marion,P0019",,Marion,,P0019,39,4,162,40,162,2,43,5,166,174,33
"Marion,P0020",,Marion,,P0020,36,7,170,35,170,7,41,0,22,21,1
"Marion,P0021",,Marion,,P0021,0,2,20,0,21,1,0,0,5,6,2
"Marion,P0022",,Marion,,P0022,3,0,5,3,5,0,3,1,100,103,27
"Marion,P0023",,Marion,,P0023,28,5,99,32,98,2,31,2,95,99,9
"Marion,P0024",,Marion,,P0024,9,3,97,14,89,3,12,13,190,206,59
"Marion,P0025",,Marion,,P0025,56,13,199,59,194,13,64,9,249,259,58
"Marion,P0026",,Marion,,P0026,53,15,254,56,250,14,62,0,1,1,0
"Marion,P0027",,Marion,,P0027,0,0,1,0,1,0,0,3,69,75,21
"Marion,P0028",,Marion,,P0028,23,2,71,24,66,5,24,0,7,8,1
"Marion,P0029",,Marion,,P0029,0,1,8,1,7,1,2,13,191,208,51
"Marion,P0030",,Marion,,P0030,63,11,196,67,190,10,64,2,204,203,31
"Miller,Bright Star",,Miller,,Bright Star,23,6,205,28,199,6,27,5,399,402,45
"Miller,Central",,Miller,,Central,37,14,397,44,395,8,44,10,335,372,253
"Miller,College Hill",,Miller,,College Hill,265,18,356,290,345,6,293,5,209,222,50
"Miller,Doddridge",,Miller,,Doddridge,58,4,215,67,208,2,63,19,932,963,86
"Miller,Fouke",,Miller,,Fouke,94,28,937,103,939,16,105,0,29,39,38
"Miller,Garland",,Miller,,Garland,53,5,31,59,28,0,58,4,551,558,50
"Miller,Genoa",,Miller,,Genoa,45,7,559,57,548,7,56,10,646,668,93
"Miller,Greenwich Village",,Miller,,Greenwich Village,89,15,658,105,644,15,108,9,435,473,228
"Miller,Hickory Street",,Miller,,Hickory Street,244,5,458,260,438,9,263,9,324,348,188
"Miller,Hickory Street South",,Miller,,Hickory Street South,206,10,330,222,319,8,214,3,214,223,116
"Miller,Mandeville",,Miller,,Mandeville,123,8,213,123,213,7,129,17,587,644,330
"Miller,North Heights",,Miller,,North Heights,359,14,619,384,593,13,382,5,199,215,175
"Miller,Ozan",,Miller,,Ozan,185,5,210,196,194,9,196,7,447,451,47
"Miller,Rondo",,Miller,,Rondo,38,14,449,42,448,10,46,2,111,129,124
"Miller,Sandflat",,Miller,,Sandflat,133,4,121,144,111,5,145,11,955,1014,279
"Miller,Sugar Hill",,Miller,,Sugar Hill,300,14,1001,340,960,14,344,12,448,482,203
"Miller,Trice",,Miller,,Trice,224,8,464,238,448,9,232,13,1112,1126,118
"Miller,Union",,Miller,,Union,108,15,1126,128,1106,15,124,7,31,58,232
"Miller,Washington",,Miller,,Washington,257,3,44,267,33,6,268,31,140,237,484
"Mississippi,AAMOD Bldg",,Mississippi,,AAMOD Bldg,601,34,193,661,148,22,656,1,36,41,14
"Mississippi,ANC Burdette",,Mississippi,,ANC Burdette,16,2,39,20,37,1,20,7,316,327,41
"Mississippi,Armorel Planting Co",,Mississippi,,Armorel Planting Co,38,8,330,45,321,6,47,4,95,103,24
"Mississippi,Bassett CH",,Mississippi,,Bassett CH,33,3,97,36,93,1,31,2,59,60,39
"Mississippi,Birdsong FS",,Mississippi,,Birdsong FS,43,0,62,46,57,3,46,27,110,150,200
"Mississippi,Charles Strong CC",,Mississippi,,Charles Strong CC,218,30,133,262,107,16,243,2,242,254,22
"Mississippi,Dell Community Center",,Mississippi,,Dell Community Center,21,5,252,29,246,3,35,2,101,98,24
"Mississippi,Dyess City Hall",,Mississippi,,Dyess City Hall,18,2,104,22,98,4,21,7,157,162,38
"Mississippi,Etowah FS",,Mississippi,,Etowah FS,38,11,154,44,149,10,38,10,192,208,48
"Mississippi,Frim Foundation Ministrie",,Mississippi,,Frim Foundation Ministrie,48,9,204,52,204,7,62,3,149,161,46
"Mississippi,Gosnell Comm Center",,Mississippi,,Gosnell Comm Center,48,5,157,65,141,3,55,9,217,238,62
"Mississippi,Gosnell School",,Mississippi,,Gosnell School,71,16,221,81,219,7,79,5,56,70,57
"Mississippi,Joiner CH",,Mississippi,,Joiner CH,79,6,56,89,54,0,84,14,205,216,41
"Mississippi,Keiser FBC",,Mississippi,,Keiser FBC,33,13,218,43,212,7,41,17,473,487,70
"Mississippi,Leachville City Hall",,Mississippi,,Leachville City Hall,67,32,469,72,481,15,75,32,833,889,154
"Mississippi,Manila Depot",,Mississippi,,Manila Depot,161,31,872,203,826,27,187,39,1162,1267,525
"Mississippi,Miss County Election Cent",,Mississippi,,Miss County Election Cent,579,38,1253,649,1171,37,654,92,837,1040,807
"Mississippi,Osceola Main Street",,Mississippi,,Osceola Main Street,934,75,964,1045,860,64,1028,43,312,394,487
"Mississippi,Trinity Baptist Church",,Mississippi,,Trinity Baptist Church,546,32,387,614,327,23,606,7,253,272,66
"Mississippi,Wilson Library",,Mississippi,,Wilson Library,68,14,264,82,259,7,87,9,166,205,123
"Monroe,BRINKLEY WARD 1",,Monroe,,BRINKLEY WARD 1,137,5,197,154,179,5,160,19,118,139,178
"Monroe,BRINKLEY WARD 2",,Monroe,,BRINKLEY WARD 2,194,6,132,200,119,11,192,9,155,189,145
"Monroe,BRINKLEY WARD 3",,Monroe,,BRINKLEY WARD 3,159,2,186,177,168,6,184,4,129,145,42
"Monroe,BRINKLEY/ DIXON",,Monroe,,BRINKLEY/ DIXON,54,8,141,61,131,10,65,0,28,33,8
"Monroe,CACHE",,Monroe,,CACHE,11,1,33,9,35,0,15,10,69,86,87
"Monroe,CLARENDON WARD 1",,Monroe,,CLARENDON WARD 1,90,2,92,95,80,7,105,6,118,138,67
"Monroe,CLARENDON WARD 2",,Monroe,,CLARENDON WARD 2,70,4,143,83,127,5,91,2,86,103,55
"Monroe,CLARENDON WARD 3",,Monroe,,CLARENDON WARD 3,61,1,106,73,91,6,79,3,71,75,14
"Monroe,CYPRESS RIDGE",,Monroe,,CYPRESS RIDGE,11,2,78,15,74,2,17,1,41,44,21
"Monroe,DUNCAN",,Monroe,,DUNCAN,26,3,40,31,39,0,28,0,46,54,12
"Monroe,HINDMAN/ RAYMOND/PINE RID",,Monroe,,HINDMAN/ RAYMOND/PINE RID,22,0,47,17,51,1,22,16,13,37,158
"Monroe,HOLLY GROVE",,Monroe,,HOLLY GROVE,172,3,33,176,27,4,178,1,63,74,23
"Monroe,JACKSN/CLBRNE/MONT./SMALL",,Monroe,,JACKSN/CLBRNE/MONT./SMALL,27,3,70,30,67,1,35,1,38,42,11
"Monroe,KEEVIL",,Monroe,,KEEVIL,12,1,43,12,44,1,14,3,69,73,31
