loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Benton,Precinct 43",,Benton,,Precinct 43,123,7,542,161,499,8,159,12,498,543,115
"Benton,Precinct 44",,Benton,,Precinct 44,180,12,152,185,137,15,190,14,136,172,150
"Benton,Precinct 45",,Benton,,Precinct 45,147,9,430,164,409,13,162,17,403,436,139
"Benton,Precinct 46",,Benton,,Precinct 46,216,14,212,222,201,19,220,15,206,240,174
"Benton,Precinct 47",,Benton,,Precinct 47,428,38,570,442,540,48,445,45,542,627,385
"Benton,Precinct 48",,Benton,,Precinct 48,128,7,246,135,234,9,136,6,235,265,108
"Benton,Precinct 49",,Benton,,Precinct 49,332,41,548,363,519,41,369,42,507,598,305
"Benton,Precinct 5",,Benton,,Precinct 5,296,39,735,326,699,39,342,41,682,772,276
"Benton,Precinct 50",,Benton,,Precinct 50,163,16,209,173,194,21,176,23,189,224,150
"Benton,Precinct 51",,Benton,,Precinct 51,148,13,347,157,332,21,169,15,327,354,140
"Benton,Precinct 52",,Benton,,Precinct 52,167,19,285,176,266,26,183,20,264,304,159
"Benton,Precinct 53",,Benton,,Precinct 53,279,32,683,295,652,43,319,43,627,713,254
"Benton,Precinct 54",,Benton,,Precinct 54,340,17,460,367,417,29,365,33,413,493,277
"Benton,Precinct 55",,Benton,,Precinct 55,296,21,506,326,471,23,319,25,477,531,273
"Benton,Precinct 56",,Benton,,Precinct 56,305,26,469,315,452,30,323,35,439,499,283
"Benton,Precinct 57",,Benton,,Precinct 57,133,21,403,142,391,22,149,23,382,412,141
"Benton,Precinct 58",,Benton,,Precinct 58,113,20,474,124,459,23,132,21,455,482,116
"Benton,Precinct 59",,Benton,,Precinct 59,313,28,406,319,379,44,347,36,359,443,280
"Benton,Precinct 6",,Benton,,Precinct 6,94,13,387,105,369,17,117,13,361,394,96
"Benton,Precinct 60",,Benton,,Precinct 60,150,36,338,150,331,43,166,37,319,366,150
"Benton,Precinct 61",,Benton,,Precinct 61,221,20,639,229,613,36,241,31,599,666,191
"Benton,Precinct 62",,Benton,,Precinct 62,233,23,497,245,476,26,274,17,452,530,199
"Benton,Precinct 63",,Benton,,Precinct 63,383,25,918,411,872,39,448,35,837,940,357
"Benton,Precinct 64",,Benton,,Precinct 64,218,8,564,239,526,15,244,12,524,592,165
"Benton,Precinct 65",,Benton,,Precinct 65,198,8,578,227,530,25,226,15,536,599,163
"Benton,Precinct 66",,Benton,,Precinct 66,249,29,553,271,515,42,263,39,525,580,233
"Benton,Precinct 67",,Benton,,Precinct 67,215,17,353,229,336,17,240,18,321,367,186
"Benton,Precinct 68",,Benton,,Precinct 68,307,13,583,329,530,34,351,28,505,633,239
"Benton,Precinct 69",,Benton,,Precinct 69,252,22,337,276,309,24,276,36,290,362,219
"Benton,Precinct 7",,Benton,,Precinct 7,93,14,292,104,284,11,105,10,282,303,90
"Benton,Precinct 70",,Benton,,Precinct 70,179,14,487,192,465,21,190,18,467,500,159
"Benton,Precinct 71",,Benton,,Precinct 71,237,16,553,252,527,21,264,22,510,579,209
