precinct,votes american independents US House,votes conservative US House,votes constitution US House,G18DHOR,votes financial independence US House,votes for political revolution US House,votes green US House,votes independent US House,G18LHOR,votes make government work US House,votes new beginnings US House,votes nonpartisan US House,votes nsa did 911 US House,votes people's independent progressive US House,votes representing the 99% US House,G18RHOR,votes wake up america US House,votes we deserve better US House,votes women of power US House
"Atlantic County,Egg Harbor Twp D-3",0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,1.0,7.0,461.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-4",0.0,0.0,0.0,236.0,0.0,2.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,15.0,569.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-5",0.0,0.0,0.0,343.0,0.0,4.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,2.0,12.0,735.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-6",0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,1.0,8.0,553.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-7",0.0,0.0,0.0,284.0,0.0,3.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,1.0,1.0,512.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-8",0.0,0.0,0.0,406.0,0.0,1.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,1.0,4.0,296.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-9",0.0,0.0,0.0,485.0,0.0,4.0,0.0,0.0,17.0,14.0,0.0,0.0,0.0,1.0,11.0,627.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp hand",0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0
"Atlantic County,Estell Manor",0.0,0.0,0.0,24.0,0.0,5.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,2.0,1.0,55.0,0.0,0.0,0.0
"Atlantic County,Estell Manor ESTL",0.0,0.0,0.0,141.0,0.0,5.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,2.0,8.0,650.0,0.0,0.0,0.0
"Atlantic County,Estell Manor hand",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"Atlantic County,Folsom",0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,39.0,0.0,0.0,0.0
"Atlantic County,Folsom FOLS",0.0,0.0,0.0,197.0,0.0,3.0,0.0,0.0,15.0,16.0,0.0,0.0,0.0,1.0,7.0,532.0,0.0,0.0,0.0
"Atlantic County,Folsom hand",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp",0.0,0.0,0.0,547.0,0.0,7.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,8.0,13.0,784.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-01",0.0,0.0,0.0,288.0,0.0,4.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,4.0,8.0,604.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-02",0.0,0.0,0.0,200.0,0.0,2.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,2.0,7.0,721.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-03",0.0,0.0,0.0,330.0,0.0,1.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,3.0,9.0,632.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-04",0.0,0.0,0.0,208.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1.0,5.0,434.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-05",0.0,0.0,0.0,461.0,0.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,4.0,4.0,482.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-06",0.0,0.0,0.0,358.0,0.0,4.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1.0,6.0,460.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-07",0.0,0.0,0.0,109.0,0.0,2.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,2.0,297.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-08",0.0,0.0,0.0,337.0,0.0,2.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,6.0,575.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-09",0.0,0.0,0.0,283.0,0.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,7.0,518.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-10",0.0,0.0,0.0,404.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,174.0,0.0,0.0,0.0
"Atlantic County,Galloway Twp D-12",0.0,0.0,0.0,397.0,0.0,1.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,1.0,4.0,507.0,0.0,0.0,0.0
