,COUNTYFP,precinct,shp_loc_prec,STATEFP,VTDST,NAMELSAD,VTDI,LSAD,CHNG_TYPE,ORIG_NAME,ORIG_CODE,RELATE,NAME,VINTAGE,FUNCSTAT,JUSTIFY,MTFCC,prec_matching,prec_word1,shp_loc_prec_nums,shp_loc_prec_code
5043,029,brick township voting district 46,"029,brick township voting district 46",34,030046,Brick township voting district 46,A,00,,,,,Brick township voting district 46,90,N,,G5240,brick township voting district 46,brick,02946,02946_brick
5044,029,brick township voting district 45,"029,brick township voting district 45",34,030045,Brick township voting district 45,A,00,,,,,Brick township voting district 45,90,N,,G5240,brick township voting district 45,brick,02945,02945_brick
5045,029,brick township voting district 44,"029,brick township voting district 44",34,030044,Brick township voting district 44,A,00,,,,,Brick township voting district 44,90,N,,G5240,brick township voting district 44,brick,02944,02944_brick
5046,029,dover township voting district 35,"029,dover township voting district 35",34,035035,Dover township voting district 35,A,00,,,,,Dover township voting district 35,90,N,,G5240,dover township voting district 35,dover,02935,02935_dover
5047,029,brick township voting district 43,"029,brick township voting district 43",34,030043,Brick township voting district 43,A,00,,,,,Brick township voting district 43,90,N,,G5240,brick township voting district 43,brick,02943,02943_brick
5048,029,dover township voting district 12,"029,dover township voting district 12",34,035012,Dover township voting district 12,A,00,,,,,Dover township voting district 12,90,N,,G5240,dover township voting district 12,dover,02912,02912_dover
5049,029,dover township voting district 13,"029,dover township voting district 13",34,035013,Dover township voting district 13,A,00,,,,,Dover township voting district 13,90,N,,G5240,dover township voting district 13,dover,02913,02913_dover
5050,029,brick township voting district 5,"029,brick township voting district 5",34,030005,Brick township voting district 5,A,00,,,,,Brick township voting district 5,90,N,,G5240,brick township voting district 5,brick,0295,0295_brick
5051,029,dover township voting district 29,"029,dover township voting district 29",34,035029,Dover township voting district 29,A,00,,,,,Dover township voting district 29,90,N,,G5240,dover township voting district 29,dover,02929,02929_dover
5052,029,dover township voting district 33,"029,dover township voting district 33",34,035033,Dover township voting district 33,A,00,,,,,Dover township voting district 33,90,N,,G5240,dover township voting district 33,dover,02933,02933_dover
5053,029,dover township voting district 31,"029,dover township voting district 31",34,035031,Dover township voting district 31,P,00,,,,,Dover township voting district 31,90,S,,G5240,dover township voting district 31,dover,02931,02931_dover
5054,029,dover township voting district 30,"029,dover township voting district 30",34,035030,Dover township voting district 30,P,00,,,,,Dover township voting district 30,90,S,,G5240,dover township voting district 30,dover,02930,02930_dover
5055,029,dover township voting district 3,"029,dover township voting district 3",34,035003,Dover township voting district 3,A,00,,,,,Dover township voting district 3,90,N,,G5240,dover township voting district 3,dover,0293,0293_dover
5056,029,dover township voting district 32,"029,dover township voting district 32",34,035032,Dover township voting district 32,A,00,,,,,Dover township voting district 32,90,N,,G5240,dover township voting district 32,dover,02932,02932_dover
5057,029,dover township voting district 28,"029,dover township voting district 28",34,035028,Dover township voting district 28,A,00,,,,,Dover township voting district 28,90,N,,G5240,dover township voting district 28,dover,02928,02928_dover
5058,029,dover township voting district 27,"029,dover township voting district 27",34,035027,Dover township voting district 27,A,00,,,,,Dover township voting district 27,90,N,,G5240,dover township voting district 27,dover,02927,02927_dover
5059,029,dover township voting district 26,"029,dover township voting district 26",34,035026,Dover township voting district 26,A,00,,,,,Dover township voting district 26,90,N,,G5240,dover township voting district 26,dover,02926,02926_dover
5060,029,dover township voting district 24,"029,dover township voting district 24",34,035024,Dover township voting district 24,A,00,,,,,Dover township voting district 24,90,N,,G5240,dover township voting district 24,dover,02924,02924_dover
5061,029,dover township voting district 23,"029,dover township voting district 23",34,035023,Dover township voting district 23,A,00,,,,,Dover township voting district 23,90,N,,G5240,dover township voting district 23,dover,02923,02923_dover
5062,029,dover township voting district 25,"029,dover township voting district 25",34,035025,Dover township voting district 25,A,00,,,,,Dover township voting district 25,90,N,,G5240,dover township voting district 25,dover,02925,02925_dover
5063,029,dover township voting district 21,"029,dover township voting district 21",34,035021,Dover township voting district 21,A,00,,,,,Dover township voting district 21,90,N,,G5240,dover township voting district 21,dover,02921,02921_dover
5064,029,dover township voting district 20,"029,dover township voting district 20",34,035020,Dover township voting district 20,A,00,,,,,Dover township voting district 20,90,N,,G5240,dover township voting district 20,dover,02920,02920_dover
5065,029,dover township voting district 2,"029,dover township voting district 2",34,035002,Dover township voting district 2,A,00,,,,,Dover township voting district 2,90,N,,G5240,dover township voting district 2,dover,0292,0292_dover
5066,029,dover township voting district 19,"029,dover township voting district 19",34,035019,Dover township voting district 19,A,00,,,,,Dover township voting district 19,90,N,,G5240,dover township voting district 19,dover,02919,02919_dover
5067,029,dover township voting district 18,"029,dover township voting district 18",34,035018,Dover township voting district 18,A,00,,,,,Dover township voting district 18,90,N,,G5240,dover township voting district 18,dover,02918,02918_dover
5068,029,dover township voting district 17,"029,dover township voting district 17",34,035017,Dover township voting district 17,A,00,,,,,Dover township voting district 17,90,N,,G5240,dover township voting district 17,dover,02917,02917_dover
5069,029,dover township voting district 16,"029,dover township voting district 16",34,035016,Dover township voting district 16,A,00,,,,,Dover township voting district 16,90,N,,G5240,dover township voting district 16,dover,02916,02916_dover
5070,029,dover township voting district 15,"029,dover township voting district 15",34,035015,Dover township voting district 15,A,00,,,,,Dover township voting district 15,90,N,,G5240,dover township voting district 15,dover,02915,02915_dover
5071,029,dover township voting district 22,"029,dover township voting district 22",34,035022,Dover township voting district 22,A,00,,,,,Dover township voting district 22,90,N,,G5240,dover township voting district 22,dover,02922,02922_dover
5072,029,dover township voting district 14,"029,dover township voting district 14",34,035014,Dover township voting district 14,A,00,,,,,Dover township voting district 14,90,N,,G5240,dover township voting district 14,dover,02914,02914_dover
5073,031,pompton lakes borough voting district 1,"031,pompton lakes borough voting district 1",34,045001,Pompton Lakes borough voting district 1,A,00,,,,,Pompton Lakes borough voting district 1,90,N,,G5240,pompton lakes borough voting district 1,pompton,0311,0311_pompton
5074,031,paterson city ward 6 voting district 5,"031,paterson city ward 6 voting district 5",34,040605,Paterson city ward 6 voting district 5,A,00,,,,,Paterson city ward 6 voting district 5,90,N,,G5240,paterson city ward 6 voting district 5,paterson,03165,03165_paterson
5075,031,paterson city ward 6 voting district 9,"031,paterson city ward 6 voting district 9",34,040609,Paterson city ward 6 voting district 9,A,00,,,,,Paterson city ward 6 voting district 9,90,N,,G5240,paterson city ward 6 voting district 9,paterson,03169,03169_paterson
5076,031,paterson city ward 6 voting district 8,"031,paterson city ward 6 voting district 8",34,040608,Paterson city ward 6 voting district 8,A,00,,,,,Paterson city ward 6 voting district 8,90,N,,G5240,paterson city ward 6 voting district 8,paterson,03168,03168_paterson
5077,031,paterson city ward 6 voting district 7,"031,paterson city ward 6 voting district 7",34,040607,Paterson city ward 6 voting district 7,A,00,,,,,Paterson city ward 6 voting district 7,90,N,,G5240,paterson city ward 6 voting district 7,paterson,03167,03167_paterson
5078,031,paterson city ward 6 voting district 6,"031,paterson city ward 6 voting district 6",34,040606,Paterson city ward 6 voting district 6,A,00,,,,,Paterson city ward 6 voting district 6,90,N,,G5240,paterson city ward 6 voting district 6,paterson,03166,03166_paterson
